alert_text,mdc_source,physioid,mdc_alert,alert_code,alert_kind,severity,source_label,source_description
** <BIS Label> High,NOM_EEG_BISPECTRAL_INDEX,192590,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,BIS ,Bispectral Index 
** <BIS Label> Low,NOM_EEG_BISPECTRAL_INDEX,192590,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,BIS ,Bispectral Index 
BIS Engine Incomp,NOM_EEG_BISPECTRAL_INDEX,192590,NOM_EVT_INCOMPAT,600,INOP,HARD_INOP,BIS ,Bispectral Index 
BIS High Impedance,NOM_EEG_BISPECTRAL_INDEX,192590,NOM_EVT_IMPED_HI,61786,INOP,SOFT_INOP,BIS ,Bispectral Index 
BIS Lead Off,NOM_EEG_BISPECTRAL_INDEX,192590,NOM_EVT_LEAD_OFF,268,INOP,SOFT_INOP,BIS ,Bispectral Index 
BIS Sensor Check,NOM_EEG_BISPECTRAL_INDEX,192590,NOM_EVT_ADVIS_CHK,6658,INOP,HARD_INOP,BIS ,Bispectral Index 
** <BIS Label> High,NOM_EEG_BISPECTRAL_INDEX_LEFT,195262,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,BIS L,EEG Bispectral Index Left 
** <BIS Label> Low,NOM_EEG_BISPECTRAL_INDEX_LEFT,195262,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,BIS L,EEG Bispectral Index Left 
** <BIS Label> High,NOM_EEG_BISPECTRAL_INDEX_RIGHT,195263,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,BIS R,EEG Bisprectral Index Right
** <BIS Label> Low,NOM_EEG_BISPECTRAL_INDEX_RIGHT,195263,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,BIS R,EEG Bisprectral Index Right
BIS IsoelectricEEG,MDC_EEG_ELEC_POTL_CRTX,153900,NOM_EVT_ABSENT,4,INOP,SOFT_INOP,EEG ,Generic EEG and BIS label 
EEG Equip Malf,MDC_EEG_ELEC_POTL_CRTX,153900,NOM_EVT_EQUIP_MALF,242,INOP,HARD_INOP,EEG ,Generic EEG and BIS label 
EEG Impedance High,MDC_EEG_ELEC_POTL_CRTX,153900,NOM_EVT_IMPED_HI,61786,INOP,SOFT_INOP,EEG ,Generic EEG and BIS label 
EEG Leads Off,MDC_EEG_ELEC_POTL_CRTX,153900,NOM_EVT_LEADS_OFF,274,INOP,SOFT_INOP,EEG ,Generic EEG and BIS label 
EEG Line Noise,MDC_EEG_ELEC_POTL_CRTX,153900,NOM_EVT_LINE_NOISE,61784,INOP,SOFT_INOP,EEG ,Generic EEG and BIS label 
EEG Muscle Noise,MDC_EEG_ELEC_POTL_CRTX,153900,NOM_EVT_MUSCLE_NOISE,61782,INOP,SOFT_INOP,EEG ,Generic EEG and BIS label 
EEG NoTransducer,MDC_EEG_ELEC_POTL_CRTX,153900,NOM_EVT_XDUCR_DISCONN,336,INOP,HARD_INOP,EEG ,Generic EEG and BIS label 
EEG Overrange,MDC_EEG_ELEC_POTL_CRTX,153900,NOM_EVT_MSMT_RANGE_OVER,364,INOP,SOFT_INOP,EEG ,Generic EEG and BIS label 
BIS Sensor Check,NOM_ELECTRODE_IMPED,192587,NOM_EVT_ADVIS_CHK,6658,INOP,SOFT_INOP,Impedc ,Electrode Impedance 
BIS SQI < 15%,NOM_EEG_BIS_SIG_QUAL_INDEX,192589,NOM_EVT_SIG_LO,380,INOP,HARD_INOP,SQI ,BIS Signal Quality Index 
** CCI High,NOM_OUTPUT_CARD_INDEX_CTS,192583,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,CCI ,Continuous Cardiac Output Index 
** CCI Low,NOM_OUTPUT_CARD_INDEX_CTS,192583,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,CCI ,Continuous Cardiac Output Index 
CCI No BSA,NOM_OUTPUT_CARD_INDEX_CTS,192583,NOM_EVT_ADVIS_BSA_REQD,61760,INOP,HARD_INOP,CCI ,Continuous Cardiac Output Index 
CCI Overrange,NOM_OUTPUT_CARD_INDEX_CTS,192583,NOM_EVT_MSMT_RANGE_OVER,364,INOP,HARD_INOP,CCI ,Continuous Cardiac Output Index 
** CCO High,MDC_OUTPUT_CARD_CTS,150492,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,CCO ,Continuous Cardiac Output 
** CCO Low,MDC_OUTPUT_CARD_CTS,150492,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,CCO ,Continuous Cardiac Output 
CCO <Pressure Label> Invalid,MDC_OUTPUT_CARD_CTS,150492,NOM_EVT_ADVIS_SRC_CHK,6672,INOP,HARD_INOP,CCO ,Continuous Cardiac Output 
CCO BadPressSignal,MDC_OUTPUT_CARD_CTS,150492,NOM_EVT_SIG_UNANALYZEABLE,384,INOP,HARD_INOP,CCO ,Continuous Cardiac Output 
CCO No <Pressure Label>,MDC_OUTPUT_CARD_CTS,150492,NOM_EVT_SRC_ABSENT,174,INOP,HARD_INOP,CCO ,Continuous Cardiac Output 
CCO No Calibration,MDC_OUTPUT_CARD_CTS,150492,NOM_EVT_ADVIS_CALIB_REQD,6662,INOP,SOFT_INOP,CCO ,Continuous Cardiac Output 
CCO Not Supported,MDC_OUTPUT_CARD_CTS,150492,NOM_EVT_UNSUPPORTED,400,INOP,HARD_INOP,CCO ,Continuous Cardiac Output 
CCO Overrange,MDC_OUTPUT_CARD_CTS,150492,NOM_EVT_MSMT_RANGE_OVER,364,INOP,HARD_INOP,CCO ,Continuous Cardiac Output 
CCO PressOverrange,MDC_OUTPUT_CARD_CTS,150492,NOM_EVT_STAT_PRESS_SRC_RANGE_OVER,61780,INOP,HARD_INOP,CCO ,Continuous Cardiac Output 
CCO PulseOverrange,MDC_OUTPUT_CARD_CTS,150492,NOM_EVT_STAT_PULSE_SRC_RANGE_OVER,61778,INOP,HARD_INOP,CCO ,Continuous Cardiac Output 
CCO Recalibrate,MDC_OUTPUT_CARD_CTS,150492,NOM_EVT_ADVIS_CALIB_CHK,6664,INOP,SOFT_INOP,CCO ,Continuous Cardiac Output 
CCO/Tbl NoTransduc,MDC_OUTPUT_CARD_CTS,150492,NOM_EVT_XDUCR_DISCONN,336,INOP,HARD_INOP,CCO ,Continuous Cardiac Output 
!!! CCO BELOW 1 L.,MDC_OUTPUT_CARD_CTS,150492,NOM_EVT_EXT_DEV_AL_CODE_50,61932,INOP,RED_ALARM,CCO ,Continuous Cardiac Output 
** Tblood High,MDC_TEMP_BLD,188436,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,Tblood ,Blood Temperature 
** Tblood Low,MDC_TEMP_BLD,188436,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,Tblood ,Blood Temperature 
Tblood Overrange,MDC_TEMP_BLD,188436,NOM_EVT_MSMT_RANGE_OVER,364,INOP,HARD_INOP,Tblood ,Blood Temperature 
TbloodNoTransducer,MDC_TEMP_BLD,188436,NOM_EVT_XDUCR_DISCONN,336,INOP,HARD_INOP,Tblood ,Blood Temperature 
!! CO2 Occlusion,MDC_AWAY_CO2,151724,NOM_EVT_TUBE_OCCL,250,INOP,YELLOW_ALARM,CO2 ,Carbon Dioxide 
CO2 Auto Zero,MDC_AWAY_CO2,151724,NOM_EVT_STAT_ZERO_RUNNING,6170,INOP,HARD_INOP,CO2 ,Carbon Dioxide 
CO2 Cal Failed,MDC_AWAY_CO2,151724,NOM_EVT_CALIB_FAIL,138,INOP,HARD_INOP,CO2 ,Carbon Dioxide 
CO2 Cal Mode,MDC_AWAY_CO2,151724,NOM_EVT_STAT_CALIB_MODE,6152,INOP,SOFT_INOP,CO2 ,Carbon Dioxide 
CO2 Cal Running,MDC_AWAY_CO2,151724,NOM_EVT_STAT_CALIB_RUNNING,6154,INOP,SOFT_INOP,CO2 ,Carbon Dioxide 
CO2 Change Scale,MDC_AWAY_CO2,151724,NOM_EVT_ADVIS_CHANGE_SCALE,61770,INOP,SOFT_INOP,CO2 ,Carbon Dioxide 
CO2 Check Cal,MDC_AWAY_CO2,151724,NOM_EVT_ADVIS_CALIB_CHK,6664,INOP,HARD_INOP,CO2 ,Carbon Dioxide 
CO2 Chk Adapter,MDC_AWAY_CO2,151724,NOM_EVT_ADVIS_ADAPTER_CHK,61814,INOP,HARD_INOP,CO2 ,Carbon Dioxide 
CO2 Equip Malf,MDC_AWAY_CO2,151724,NOM_EVT_EQUIP_MALF,242,INOP,HARD_INOP,CO2 ,Carbon Dioxide 
CO2 No Sensor,MDC_AWAY_CO2,151724,NOM_EVT_SENSOR_DISCONN,308,INOP,HARD_INOP,CO2 ,Carbon Dioxide 
CO2 No Tubing,MDC_AWAY_CO2,151724,NOM_EVT_TUBE_DISCONN,326,INOP,HARD_INOP,CO2 ,Carbon Dioxide 
CO2 NoTransducer,MDC_AWAY_CO2,151724,NOM_EVT_XDUCR_DISCONN,336,INOP,HARD_INOP,CO2 ,Carbon Dioxide 
CO2 Overrange,MDC_AWAY_CO2,151724,NOM_EVT_MSMT_RANGE_OVER,364,INOP,HARD_INOP,CO2 ,Carbon Dioxide 
CO2 Pump Off,MDC_AWAY_CO2,151724,NOM_EVT_ADVIS_PUMP_OFF,61816,INOP,SOFT_INOP,CO2 ,Carbon Dioxide 
CO2 Purging,MDC_AWAY_CO2,151724,NOM_EVT_TUBE_OBSTRUC,330,INOP,HARD_INOP,CO2 ,Carbon Dioxide 
CO2 Sens Warmup,MDC_AWAY_CO2,151724,NOM_EVT_STAT_SENSOR_WARMING,6176,INOP,HARD_INOP,CO2 ,Carbon Dioxide 
CO2 Upgrade FW,MDC_AWAY_CO2,151724,NOM_EVT_SW_VER_UNK,322,INOP,HARD_INOP,CO2 ,Carbon Dioxide 
CO2 Upgrade FW,MDC_AWAY_CO2,151724,NOM_EVT_STAT_FW_UPDATE_IN_PROGRESS,61688,INOP,SOFT_INOP,CO2 ,Carbon Dioxide 
CO2 Wait Cal2,MDC_AWAY_CO2,151724,NOM_EVT_WAIT_CAL,61678,INOP,SOFT_INOP,CO2 ,Carbon Dioxide 
CO2 Zero Failed,MDC_AWAY_CO2,151724,NOM_EVT_ZERO_FAIL,61818,INOP,HARD_INOP,CO2 ,Carbon Dioxide 
CO2 ZeroRequired,MDC_AWAY_CO2,151724,NOM_EVT_ADVIS_ZERO_REQD,61820,INOP,HARD_INOP,CO2 ,Carbon Dioxide 
CO2 Meas Disturbed,MDC_AWAY_CO2,151724,NOM_EVT_DISTURB,24,INOP,HARD_INOP,CO2 ,Carbon Dioxide 
