Group,REFID,CF_CODE10,Standard_Table,Systematic Name,Common Term,Acronym,Term Description,PART,CODE10,Description,DisplayName,Vendor_UOM,UOM_MDC,UOM_UCUM,Enum_Values,External_Sites,Vendor_ID,Vendor_Status,Vendor_Sort,Vendor_Comment,Vendor_VMD,Vendor_Discussion,General_Discussion,Tags
CVS_ECG_ST,MDC_ECG_AMPL_ST,131840,,"ElectricalPotential | ECG <lead>, ST | Heart | CVS","STTxx Amplitude","ST-Jxx","Amplitude of the ST segment at xx ms after the end of QRS complex of ECG in specified  <lead>. The time point xx is defined globally by item with code MDC_ECG_TIME_ST_Jxx (2::16304)",2,768,"ST generic label",ST,"mm",MDC_DIM_MICRO_VOLT MDC_DIM_MILLI_VOLT,uV mV,,,Philips,S,10,"","PHYSIO_SRC_ID_ST",,,
CVS_ECG_ST,MDC_ECG_AMPL_ST_I,131841,,,,,,2,769,"ST lead I",ST-I,"mm",MDC_DIM_MICRO_VOLT MDC_DIM_MILLI_VOLT,uV mV,,,Philips,S,20,"","PHYSIO_SRC_ID_ST",,,""
CVS_ECG_ST,MDC_ECG_AMPL_ST_II,131842,,,,,,2,770,"ST lead II",ST-II,"mm",MDC_DIM_MICRO_VOLT MDC_DIM_MILLI_VOLT,uV mV,,,Philips,S,30,"","PHYSIO_SRC_ID_ST",,,
CVS_ECG_ST,MDC_ECG_AMPL_ST_V1,131843,,,,,,2,771,"ST lead V1",ST-V1,"mm",MDC_DIM_MICRO_VOLT MDC_DIM_MILLI_VOLT,uV mV,,,Philips,S,40,"","PHYSIO_SRC_ID_ST",,,
CVS_ECG_ST,MDC_ECG_AMPL_ST_V2,131844,,,,,,2,772,"ST lead V2",ST-V2,"mm",MDC_DIM_MICRO_VOLT MDC_DIM_MILLI_VOLT,uV mV,,,Philips,S,50,"","PHYSIO_SRC_ID_ST",,,
CVS_ECG_ST,MDC_ECG_AMPL_ST_V3,131845,,,,,,2,773,"ST lead V3",ST-V3,"mm",MDC_DIM_MICRO_VOLT MDC_DIM_MILLI_VOLT,uV mV,,,Philips,S,60,"","PHYSIO_SRC_ID_ST",,,
CVS_ECG_ST,MDC_ECG_AMPL_ST_V4,131846,,,,,,2,774,"ST lead V4",ST-V4,"mm",MDC_DIM_MICRO_VOLT MDC_DIM_MILLI_VOLT,uV mV,,,Philips,S,70,"","PHYSIO_SRC_ID_ST",,,
CVS_ECG_ST,MDC_ECG_AMPL_ST_V5,131847,,,,,,2,775,"ST lead V5",ST-V5,"mm",MDC_DIM_MICRO_VOLT MDC_DIM_MILLI_VOLT,uV mV,,,Philips,S,80,"","PHYSIO_SRC_ID_ST",,,
CVS_ECG_ST,MDC_ECG_AMPL_ST_V6,131848,,,,,,2,776,"ST lead V6",ST-V6,"mm",MDC_DIM_MICRO_VOLT MDC_DIM_MILLI_VOLT,uV mV,,,Philips,S,90,"","PHYSIO_SRC_ID_ST",,,
CVS_ECG_ST,MDC_ECG_AMPL_ST_III,131901,,,,,,2,829,"ST lead III",ST-III,"mm",MDC_DIM_MICRO_VOLT MDC_DIM_MILLI_VOLT,uV mV,,,Philips,S,100,"","PHYSIO_SRC_ID_ST",,,
